id,name,description,price,image,restaurant_id
1,Ayam Kesuma,"Ayam Kesuma - Ayam yang dimasak dengan bumbu rempah Indonesia tradisional yang kaya dan aromatis, menciptakan hidangan yang lezat dan menghangatkan",85000,https://media-cdn.tripadvisor.com/media/photo-s/13/31/19/25/ayam-kesuma-a-flavourful.jpg,1
2,Ayam Sauce Areh,"Ayam Sauce Areh - Ayam yang dimasak dengan saus santan kental, dibumbui dengan rempah-rempah Jawa tradisional",85000,https://media-cdn.tripadvisor.com/media/photo-s/05/fc/91/67/ayam-bumbu-areh.jpg,1
3,Rendang,"Rendang - Daging sapi yang dimasak dengan santan dan bumbu rempah hingga empuk dan karamelisasi, menghasilkan gulai kering yang sangat beraroma",105000,https://asset.kompas.com/crops/AWXtnkYHOrbSxSggVuTs3EzQprM=/10x36:890x623/750x500/data/photo/2023/03/25/641e5ef63dea4.jpg,1
4,Bebek,"Bebek - Bebek goreng renyah yang dimasak dengan metode tradisional Indonesia, disajikan dengan sambal dan lalapan segar",300000,https://asset.kompas.com/crops/UhV2ngrlUWo92yJyruxM7I-vSNE=/69x65:869x598/750x500/data/photo/2021/11/25/619f7dc86e939.jpg,1
5,Es Jeruk,"Es Jeruk - Jus jeruk segar khas Indonesia yang disajikan dengan es, dengan keseimbangan sempurna antara manis dan asam",15000,https://dcostseafood.id/wp-content/uploads/2021/12/ES-JERUK-murni.jpg,1
6,Smoked Brisket Pizza,"Smoked Brisket Pizza - Pizza yang dipanggang dengan kayu bakar, ditaburi daging sapi asap yang empuk, keju leleh, dan saus barbekyu",67000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbBB2A1fliV0S1kxzWFCR-pjx9NBMQUVz7uA&s,2
7,Capricciosa Pizza,"Capricciosa Pizza - Pizza Italia klasik dengan topping ham, jamur, artichoke, dan zaitun di atas saus tomat",67000,https://wips.plug.it/cips/buonissimo.org/cms/2019/04/pizza-capricciosa.jpg,2
8,Mediterranea,"Mediterranea - Hidangan bergaya Mediterania dengan minyak zaitun, rempah, dan bahan-bahan khas regional",60000,https://yogya.co/wp-content/uploads/Mediterranea-Restaurant-by-Kamil.png,2
9,Cappuccino With Oat Milk,Cappuccino With Oat Milk - Minuman kopi berbasis espresso yang dibuat dengan susu oat untuk alternatif non-dairy yang creamy,37000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUQIUTj44DlmJAgga4B0UE6fHeGsTKuAzCwA&s,2
10,Turkish Coffee,"Turkish Coffee - Kopi bubuk halus tradisional yang diseduh dalam cezve, disajikan kental dan tanpa disaring",21000,https://asset.kompas.com/crops/TAV1bphQzXDEFj4_4cmL4uKt-yA=/0x1:1000x668/750x500/data/photo/2023/08/03/64cb49dfdf20a.jpg,2
11,Ayam Woku Endes,"Ayam Woku Endes - Ayam bumbu pedas khas Manado yang dimasak dengan rempah aromatik, cabai, dan daun jeruk",26000,https://img-global.cpcdn.com/recipes/e0c4e6b49a8f3441/680x482cq70/ayam-woku-foto-resep-utama.jpg,3
12,Ikan Baracuda Sambel Ijo,"Ikan Baracuda Sambel Ijo - Ikan barakuda bakar yang disajikan dengan sambal hijau segar, hidangan seafood pedas yang lezat",30000,https://img-global.cpcdn.com/recipes/b747bea84466eddf/680x482cq70/ikan-sambal-ijo-foto-resep-utama.jpg,3
13,Tahu Crispy,"Tahu Crispy - Potongan tahu goreng renyah dengan bagian luar keemasan dan bagian dalam yang lembut, disajikan dengan sambal",15000,https://www.astronauts.id/blog/wp-content/uploads/2023/10/Resep-Tahu-Crispy-Bisa-Menjadi-Ide-Cemilan-Keluarga-Ketika-Weekend.jpg,3
14,Rujak Serut,Rujak Serut - Salad buah tradisional Indonesia dengan buah-buahan yang diserut dan bumbu pedas-manis,15000,https://img.kurio.network/XKO9PDJZnuYy9kqFANXY8uOO6eo=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/22/01/24/15945c72-1996-4028-83d8-837903e181e4.jpe,3
15,Ayam Goreng Sambal Combrang,"Ayam Goreng Sambal Combrang - Ayam goreng yang disajikan dengan sambal bunga kecombrang, menawarkan kepedasan dengan aroma bunga yang unik",28000,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/1005/2024/02/06/Screenshot_20240206_112426_Instagram-3198247297.jpg,3
16,Spaghetti Bolognese,"Spaghetti Bolognese - Pasta Italia klasik dengan saus daging yang kaya, rempah, dan keju parmesan",51000,https://asset.kompas.com/crops/fAw8yWk-YLXDDUR1b_BWv1n9Wmc=/0x22:968x667/750x500/data/photo/2023/06/02/64793cbdad978.jpg,4
17,Spaghetti Aglio E Olio,"Spaghetti Aglio E Olio - Pasta Italia sederhana dengan bawang putih, minyak zaitun, cabai kering, dan peterseli",39000,https://asset.kompas.com/crops/AwNcczjFWv3OR26dxu5TLyg-lNY=/0x0:1000x667/750x500/data/photo/2021/11/29/61a4a18d52c8f.jpg,4
18,Fettucine Al Pesto,"Fettucine Al Pesto - Pasta pita dengan saus pesto basil segar, kacang pinus, dan parmesan",42000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5otIim8LuIVWYUK1ecG1ZpFZsISHhCs8jyA&s,4
19,Espresso,Espresso - Kopi kental yang diseduh dengan menekan air panas melalui biji kopi yang digiling halus,17000,https://kopikita.id/wp-content/uploads/2022/12/espresso-vs-expresso.jpg,4
20,Coffee Crema,"Coffee Crema - Espresso dengan lapisan crema keemasan, menunjukkan ekstraksi yang sempurna",23000,https://www.thespruceeats.com/thmb/fLxadmG3L_Lv_4P7ndbK5Quaniw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-925392702-ce9de88aa4c8404ea213381a1a0cd9b9.jpg,4
